neck_angle,shoulder_tilt,spine_lean_angle,forward_head_offset,shoulder_hip_alignment,ear_shoulder_dist,shoulder_symmetry,lateral_lean,label_raw,label,subject
177.1457,1.8791,179.3675,0.6508,177.1457,0.107,0.8984,0.4631,TLB,Backward Lean,1
179.0414,2.6827,176.2774,0.7866,179.0414,0.0964,0.8609,2.6165,TLB,Backward Lean,1
175.4708,3.361,177.0268,-0.3016,175.4708,0.1111,0.8547,2.1605,TLB,Backward Lean,1
176.9192,3.8926,177.2981,-0.0796,176.9192,0.1204,0.846,1.9865,TLB,Backward Lean,1
177.9994,4.2256,177.4756,0.1086,177.9994,0.1188,0.8412,1.8682,TLB,Backward Lean,1
177.7946,3.9286,177.4772,0.0623,177.7946,0.1124,0.8474,1.8745,TLB,Backward Lean,1
177.5192,3.735,177.5121,0.0014,177.5192,0.1101,0.8504,1.8466,TLB,Backward Lean,1
176.307,3.4537,177.4304,-0.2136,176.307,0.109,0.8542,1.9096,TLB,Backward Lean,1
175.3845,3.4231,177.4344,-0.3872,175.3845,0.1082,0.8547,1.9046,TLB,Backward Lean,1
177.4043,3.0937,177.4923,-0.015,177.4043,0.098,0.8613,1.8528,TLB,Backward Lean,1
175.1039,2.1548,177.5408,1.1977,175.1039,0.0936,0.8797,1.7938,TLB,Backward Lean,1
174.4397,2.0809,177.6814,1.2657,174.4397,0.0923,0.8825,1.6929,TLB,Backward Lean,1
177.0241,3.8552,177.7802,-0.1111,177.0241,0.0842,0.8533,1.6484,TLB,Backward Lean,1
160.6997,4.4174,173.7982,2.2977,160.6997,0.1014,0.9984,4.7007,TLB,Backward Lean,1
161.2641,4.3598,173.6854,2.0377,161.2641,0.0947,0.9986,4.738,TLB,Backward Lean,1
161.343,4.3767,173.6738,2.0058,161.343,0.0939,0.9984,4.7127,TLB,Backward Lean,1
162.4977,4.3915,173.9734,1.824,162.4977,0.0917,0.9954,4.4804,TLB,Backward Lean,1
164.8025,4.0926,174.4435,1.5348,164.8025,0.0916,0.9963,4.1301,TLB,Backward Lean,1
166.2474,3.9872,174.7452,1.3454,166.2474,0.091,0.9956,3.9107,TLB,Backward Lean,1
166.3792,3.953,174.7684,1.329,166.3792,0.0911,0.9953,3.8972,TLB,Backward Lean,1
166.4166,3.9754,174.7631,1.3327,166.4166,0.0918,0.9946,3.8989,TLB,Backward Lean,1
166.6598,3.9722,174.7998,1.305,166.6598,0.0922,0.9942,3.869,TLB,Backward Lean,1
166.9819,3.9833,174.7766,1.2485,166.9819,0.0921,0.9934,3.8868,TLB,Backward Lean,1
167.4903,4.2251,174.7879,1.1831,167.4903,0.0931,0.9884,3.8648,TLB,Backward Lean,1
165.0635,3.2897,174.3392,1.4724,165.0635,0.0913,0.9809,4.1214,TLB,Backward Lean,1
161.1089,3.5667,173.8899,1.9766,161.1089,0.0893,0.969,4.412,TLB,Backward Lean,1
160.2348,4.6061,173.7256,2.2393,160.2348,0.096,0.9831,4.4716,TLB,Backward Lean,1
160.475,3.8502,173.6974,2.2355,160.475,0.0977,0.9641,4.4428,TLB,Backward Lean,1
160.145,3.8947,173.5496,2.2471,160.145,0.0969,0.9651,4.5574,TLB,Backward Lean,1
160.9973,4.2585,173.5269,2.0897,160.9973,0.0963,0.972,4.5636,TLB,Backward Lean,1
161.3968,4.2878,173.5142,1.9954,161.3968,0.0951,0.9714,4.5716,TLB,Backward Lean,1
161.622,4.3444,173.4758,1.9238,161.622,0.0937,0.9715,4.5935,TLB,Backward Lean,1
161.7043,4.3417,173.4493,1.9014,161.7043,0.0934,0.9712,4.6046,TLB,Backward Lean,1
161.741,4.3549,173.4256,1.8896,161.741,0.0933,0.9704,4.6229,TLB,Backward Lean,1
171.3882,5.8898,173.882,0.4108,171.3882,0.0944,0.9855,4.508,TLB,Backward Lean,1
161.8444,5.1998,173.9736,1.9014,161.8444,0.0905,0.9978,4.5058,TLB,Backward Lean,1
158.9175,4.2932,173.938,2.2763,158.9175,0.0878,0.9822,4.5726,TLB,Backward Lean,1
158.0102,4.0259,173.8879,2.3717,158.0102,0.0867,0.9766,4.6243,TLB,Backward Lean,1
158.5648,6.4342,173.2161,2.435,158.5648,0.0963,0.9682,5.1763,TLB,Backward Lean,1
159.9727,7.1035,172.9394,2.2923,159.9727,0.1022,0.955,5.4274,TLB,Backward Lean,1
161.1546,7.0469,172.872,2.1471,161.1546,0.1057,0.9565,5.4409,TLB,Backward Lean,1
177.5682,4.551,177.407,-0.0405,177.5682,0.144,0.9232,1.9513,TLB,Backward Lean,1
173.0373,4.2265,176.7504,0.5674,173.0373,0.0876,0.9391,2.5014,TLB,Backward Lean,1
171.8421,4.2347,176.0072,0.6868,171.8421,0.0946,0.9436,3.0704,TLB,Backward Lean,1
170.009,4.3679,176.1779,1.0311,170.009,0.096,0.9397,2.935,TLB,Backward Lean,1
176.1763,4.8551,175.9779,-0.0347,176.1763,0.1,0.9302,3.0679,TLB,Backward Lean,1
176.0057,2.7619,175.8466,-0.0285,176.0057,0.1028,0.9782,3.0693,TLB,Backward Lean,1
176.327,3.6256,176.1402,-0.0347,176.327,0.1065,0.9563,2.831,TLB,Backward Lean,1
175.4443,4.2669,176.0188,0.1038,175.4443,0.1035,0.9434,2.9502,TLB,Backward Lean,1
172.984,4.2705,176.1738,0.5938,172.984,0.1067,0.9427,2.8405,TLB,Backward Lean,1
172.7815,4.4554,176.0994,0.6197,172.7815,0.1071,0.9399,2.9047,TLB,Backward Lean,1
172.283,4.5989,175.9985,0.6945,172.283,0.1072,0.9377,2.9878,TLB,Backward Lean,1
172.1977,4.657,175.9364,0.6981,172.1977,0.1071,0.9368,3.0359,TLB,Backward Lean,1
172.286,4.7908,175.9385,0.6827,172.286,0.1072,0.934,3.0332,TLB,Backward Lean,1
74.9756,1.3615,152.3674,6.0503,74.9756,0.062,0.737,5.0098,TLF,Forward Lean,1
74.3095,0.9309,156.5897,6.7185,74.3095,0.0678,0.7465,3.7541,TLF,Forward Lean,1
41.7764,1.9395,155.2781,6.4397,41.7764,0.0702,0.7885,3.7799,TLF,Forward Lean,1
16.3923,2.5284,153.8219,5.7492,16.3923,0.085,0.8054,3.8192,TLF,Forward Lean,1
13.6899,4.3714,157.022,5.3253,13.6899,0.0892,0.9522,2.6699,TLF,Forward Lean,1
6.7482,4.3209,156.6971,4.1162,6.7482,0.0822,0.9496,2.7345,TLF,Forward Lean,1
2.9875,4.9896,159.207,3.1825,2.9875,0.0789,0.9293,2.2624,TLF,Forward Lean,1
