neck_angle,shoulder_tilt,spine_angle,forward_head_ratio,hip_shoulder_alignment,ear_shoulder_distance,shoulder_symmetry,torso_lean,label,posture_class
138.1452,1.6218,142.9493,0.1285,161.3828,0.1256,0.9018,17.7917,1,Slouching
176.2516,1.589,174.2698,0.044,183.7124,0.1525,1.0,1.7614,0,Good Posture
173.7982,0.0,167.3382,0.0687,173.8994,0.1155,0.9683,0.0,0,Good Posture
168.6054,1.4761,174.0351,0.0915,179.1458,0.1286,0.9903,2.3582,0,Good Posture
126.3872,7.2491,156.9047,0.291,178.9028,0.3261,0.9626,5.1997,2,Forward Head
153.1549,17.0132,169.6218,0.097,165.519,0.1414,0.7466,18.7438,3,Lateral Tilt
168.8272,25.3886,166.2275,0.0723,159.4769,0.1375,0.8294,22.7282,3,Lateral Tilt
168.9648,4.398,176.6828,0.0441,180.0909,0.1133,0.9917,2.5545,0,Good Posture
139.6391,8.5152,135.5906,0.1695,164.4551,0.2192,0.8919,12.3585,1,Slouching
142.3538,3.4695,146.1956,0.1808,174.0537,0.2331,0.9464,12.4702,1,Slouching
157.4703,0.4086,158.0371,0.1351,153.0584,0.1244,0.8818,9.801,1,Slouching
136.1852,0.2676,163.6743,0.3168,174.0656,0.2577,0.9285,3.7878,2,Forward Head
132.7,1.3802,173.6761,0.3147,174.9193,0.3896,0.9407,5.6339,2,Forward Head
167.6186,21.0277,162.8263,0.0351,168.0403,0.1398,0.7127,10.7439,3,Lateral Tilt
148.8421,1.8347,151.5823,0.1115,160.5422,0.2442,0.9345,16.2566,1,Slouching
163.3224,2.815,173.0121,0.0614,175.7102,0.0839,0.9637,2.0721,0,Good Posture
166.8299,1.8279,176.515,0.0673,174.3991,0.1133,0.9753,1.02,0,Good Posture
131.7158,4.4536,165.4874,0.3643,170.9718,0.3339,0.912,3.0061,2,Forward Head
167.5841,1.6557,170.0815,0.0422,180.9897,0.1107,0.9864,1.7142,0,Good Posture
118.8167,5.9803,176.2181,0.3771,170.6569,0.2623,0.908,1.6325,2,Forward Head
163.3438,19.3962,156.4491,0.1111,171.1629,0.1027,0.6439,13.1146,3,Lateral Tilt
147.4136,5.5266,130.2497,0.1144,154.4874,0.2215,0.8122,14.1894,1,Slouching
163.0247,17.6191,163.3564,0.0378,165.2673,0.1371,0.8537,29.0112,3,Lateral Tilt
170.2881,1.6817,172.1442,0.0515,178.7733,0.0952,0.9833,1.7671,0,Good Posture
170.1823,1.0226,180.0,0.0627,171.9246,0.1237,0.9734,3.2787,0,Good Posture
128.6484,5.1006,165.556,0.3398,171.9935,0.3111,0.9475,4.2177,2,Forward Head
136.2523,4.2838,163.8812,0.2758,171.9837,0.3179,0.9625,0.9702,2,Forward Head
162.4992,20.6601,159.8496,0.1534,172.6819,0.1342,0.7336,17.43,3,Lateral Tilt
165.6323,3.3354,175.5155,0.0611,174.4732,0.1021,0.986,0.5775,0,Good Posture
141.8008,2.7645,144.1603,0.1745,154.796,0.1913,0.9023,11.9807,1,Slouching
171.1591,5.1131,177.6134,0.0435,181.6036,0.1118,0.9596,0.4879,0,Good Posture
170.9203,2.7466,176.9978,0.0584,180.5168,0.1077,0.9744,0.3498,0,Good Posture
139.313,2.7588,162.6395,0.2757,166.0486,0.2637,0.9517,2.6523,2,Forward Head
171.4917,12.5626,158.0704,0.0798,157.1942,0.1769,0.8532,15.8332,3,Lateral Tilt
136.2627,7.5043,152.3102,0.0882,167.7187,0.223,0.956,8.2894,1,Slouching
146.4194,0.1999,167.5848,0.241,178.3681,0.2906,0.8967,6.2764,2,Forward Head
169.8287,2.087,177.5453,0.0051,176.1799,0.1242,0.992,1.2621,0,Good Posture
145.0252,8.69,152.8615,0.094,159.6981,0.1918,0.9033,11.3591,1,Slouching
172.4409,2.2355,173.2404,0.0545,180.1438,0.079,0.9916,1.4956,0,Good Posture
172.9684,2.4489,178.9052,0.0812,178.096,0.1049,0.9846,0.9834,0,Good Posture
149.8762,0.3339,146.6068,0.154,155.3303,0.2415,0.9134,22.3904,1,Slouching
152.1894,5.1131,150.2763,0.2207,163.3088,0.2037,0.8796,2.2323,1,Slouching
164.6205,18.4016,177.6225,0.0911,157.8205,0.1237,0.6641,16.351,3,Lateral Tilt
169.1061,3.071,176.4197,0.0485,175.4596,0.0897,0.9755,3.2846,0,Good Posture
